comentario
"3oitão deve tá com anemia, essa começão de gelo pode ser um sinal😂😂😂"
"Pra mim o 38tao é um dos mais inteligente brasileiro que temos no brasil!!! Cara estudado , sagaz"
"É como todo ditador,... Corajoso e cruel. As coisas que esse cara está fazendo com civis que nunca cometeram um crime na vida, só se faz com muita maldade no coração! Esse carma vai seguir todos os coniventes com essa barbárie conta a vida humana."
Trezoitão sempre arruma um jeito de dar uma alizada no Akexandre de Moraes.
"Xandão votou para manter o Lula preso, enquanto o Kassio, indicado pelo Bolsonaro, votou para solta-lo. Mas vocês não estão preparados para essa conversa."
Como esse poder eu tenho coragem também
"Monark esta tão lesado pelo uso excessivo de maconha , qua agora c/ suas redes liberadas , cedo ou tarde voltará a dizer groselhas e será bloqueado."
Não conhece Rommel? oloco
38tão tem uma rixa com Bolsonaro que nrm o Xandão tem kkkkkk
"1:00 ''Elogio ao alexandre ditador'' ????? Sobre as armas pesadas é pra proteção dos MINISTROS, um cara tão esperto como vc deveria saber disso e não falar oq não sabe, e outra coisa a policia parou de subir as favelas por causa dele e de um outro ministro, trezoitão ta invertendo os fatos, oq ta acontecendo com vc meu caro ?? foi comprado ?? É de esquerda ??"
Trump chutou a porta
Foi DESBLOQUEADO mas se ele falar QUALQUER COISA tem que PAGAR 20K
Quem manda no Brasil é o Kassab
Simplista e covarde o cara sabe que tem um sistema que comprou até a eleição e fica fazendo conteúdo não consegue nem largar o trampo que tem sai doido
"Esse 38 é um imbecil completo, quem dá ouvidos a esse camarada tá de brincadeira"
"Alexandre quando foi indicado para o supremo, foi sabatinado pelo ex senador Zezé Perrella, um cara de currículo invejável. Brasil é um inferno."
Até a minha conta do Facebook que eu tinha perdido em 2019 foi desbloqueada😂😂😂 alguém utilizou a chave mestra
Deltan íntegro 😂😂 a lava jato se tornou uma organização criminosa eles não tinham projeto de justiça e sim de poder desqualificando a política pra impor um golpe.
ESSE RENATO É UM MENTIROSO!!!!
ESSE TREZOITAO É UM TREMENDO MENTIROSO E CONTADOR DE HISTÓRIA!!!!
"Há véi aí fica difícil, o cara já fala tudo embolado e ainda enche a boca de pipoca !!!!!"
Esse imenso parece o imenso do flow
"A verdade é que o efeito político destas perseguições já foi atingido. A eleição foi ganha, os opositores foram destruídos completamente e agora estamos 2 anos governo adentro. Ele desbanir essa galera agora tanto faz como tanto fez. Vamos ver adiante na eleição de 2026."
Ocê vacilo d+ o treizoitão...é realmente ocê dessa x foi um jumento literalmente
Muito achismos
"Machão enquanto tinha costa quente. Agora, a soberba murchou como flor ao meio dia no deserto. Até a caneta perdeu a tinta. Em 2026 o senado será de maioria direita. Vai dá queda e cana..."
cara e ricaço e tá comendo gelo
"O Alexandre de morais é um covarde,isso sim,"
"Porra trezoitão, primeiro você vota nulo em apoio a Lula, agora paga Pau pra Alexandre de Morais, rapaz quem diria"
É ou não é? Não é!
"Treizoito é fera, porém vc está enganado com xandinho, ele não é corajoso, ele não liberou arma nenhuma, ele não fez nada, além do q lhe convém, você tá totalmente enganado, e ele foi advogado de Pcc isso é do conhecimento de todos ."
E tudo farinha do mesmo saco está OEA
Monark será o futuro Rei do Brasil
"É fácil ser corajoso quando se tem uma toga que te deixa invulnerável. É igual bandido com arma, ele faz e acontece enquanto está com arma e sabe que ninguém mais esta armado, mas quando tira a arma dele no mesmo instante a coragem vai embora."
"É extremamente fácil ser ""corajoso"" quando quem vai ter que tomar todos os riscos não é você e sim quem você está mandando"
Simples. No governo bolsonaro eles sentiram que a violencia caiu e deram um jeito de aumentar a mesma. Agora que disparou eles querem frear e falar que caiu com a esquerda.
o monark ja voltou o novo nome dele é kaique o editor.
Alexandre de moraes sempre foi um cara conservador apadrinhado do Michel temer foi um tremendo erro ter brigado com ele
"É simples. O Estado é uma Máfia. Havia a Máfia da Monarquia que foi substituída pela Máfia da República, Pela Máfia dos Militares e depois a Máfia Republicana Voltou. E uma MAFIA GRINGA MAIOR ( USA) está colocando a gangue daqui contra a parede."
"Ou ameaçaram ele de congelar todos os ativos dele no exterior e de repente ele tem uma moeda guardada aí pra fora, as vezes as decisões são puramente financeiras, follow THE money"
o cara liberou assassinato de criança com injeção letal e esse escroto do 38 ainda bate continencia pra esse cara . Mais isso nao me espanta nao. 38 falou que deixaria um sequestrador matar a filha dele mais nao entregaria seus bitcoins.
Esses merda falando que o careca e uma pessoa forte de persona porra o cara tem a caneta na mão e todos os outros na mão como m seria kkkkk acorda
"O raciocínio do Trezoitao ta perfeito, politicamente foi besteira o Bolsonaro brigar com o Xandão,se ele tivesse se aliado a história seria outra,entregou de bandeja pro Lula, política as vezes vc tem que saber pesar todas as coisas,o Trump por exemplo,teve que se aliar com pessoas diferentes pra se eleger e agora Governar"
"Xandao e macho, mas nesse mar tem tubarão com dentes muito maiores que ele"
"O que faz raiva desses podcast, sei lá se é isso, é que os caras nunca deixam concluir a fala, o raciocínio, que merd!. Fala sobre os vídeos recentes do Senador Marcos do Val, ele tá falando muita coisa que faz sentido"
Ele não é corajoso e sim covarde.
"A verdade que ele perdeu o padrinho político dele (Biden), que dava carta branca para ele fazer o que tivesse de ser feito e agora tem um político totalmente desalinhado com ele e os colegas dele fazendo com ele ceda. A partir de agora veremos uma diminuição das interferências e atividades políticas do STF. Vão sumir um pouco do holofote, tanto que TV's que apoiavam isso já começaram ser críticos!!!"
"Tudo não passa de teatro, um circo pra macaco vater palma. A republica foi criada para por em prática as mudanças qie vieram para destruir a sociedade ocidental cristã no intúito de acabar com a propeiedade privada e criar a religião, a moeda e o governo único e a França foi o start."
"Como diria Saddan Houssein: ""Quem tem Kwait, tem medo"". 😂😂😂😂😂😂😂"
O barba só tem tamanho e ainda nunca ouviu falar do general Hommel? Não tinha TV em casa pra ver filme de guerra.😂😂😂😝
não faço mais comentários
limítrofes
"Ele tem coragem pq tinha um governo americano corrupto que seguia uma agenda nefasta por trás dele. O Trump já mudou o diretor da OEA que vai começar em março! Pode ser que agora ele se salve, mas mês de março está chegando e tudo mudará!! Xandão vai se ferrar com Elon Musk fungando no cangote dele!"
